,Name,Yrs_College,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
0,Steffond Johnson,5,San Diego State,WAC,17,31.1,6.1,12.4,.490,,,,,,,3.6,6.5,.550,8.4,0.6,0.8,0.6,2.9,3.2,15.7,1.93
0,Pete Myers,2,Little Rock,TAAC,34,33.6,6.7,12.6,.534,,,,,,,5.7,7.7,.747,7.9,2.8,1.2,0.5,2.7,2.8,19.2,-4.89
0,Curtis Kitchen,4,South Florida,Sun Belt,28,32.6,2.9,5.9,.488,,,,,,,1.4,2.9,.494,8.6,0.9,0.6,3.2,2.3,3.5,7.1,4.60
0,Tim Kempton,4,Notre Dame,Ind,28,22.0,2.5,4.5,.543,,,,,,,1.5,2.1,.741,5.1,2.2,0.6,0.3,,2.0,6.5,4.16
0,Anthony Frederick,2,Pepperdine,WCAC,30,31.2,4.1,7.5,.547,,,,,,,1.2,1.9,.621,6.9,2.3,1.3,2.1,2.1,3.2,9.4,-0.79
0,David Robinson,4,Navy,CAA,32,34.6,10.9,18.5,.591,10.9,18.5,.591,0.0,0.0,1.000,6.3,9.9,.637,11.8,1.0,2.1,4.5,2.2,2.7,28.2,-1.44
0,Armen Gilliam,3,UNLV,PCAA,39,32.3,9.2,15.3,.600,9.2,,,0.0,,,4.7,6.5,.728,9.3,0.9,1.4,0.9,1.8,2.4,23.2,6.09
0,Dennis Hopson,4,Ohio State,Big Ten,33,35.1,10.2,19.8,.518,8.2,14.9,.550,2.0,4.8,.419,6.5,8.0,.814,8.2,3.6,2.2,0.6,2.8,2.3,29.0,8.48
0,Reggie Williams,4,Georgetown,Big East,34,35.4,8.4,17.3,.482,6.1,11.4,.532,2.3,5.9,.386,4.6,5.7,.804,8.6,2.7,2.1,0.6,2.2,2.7,23.6,8.01
0,Kenny Smith,4,UNC,ACC,34,32.1,6.1,12.2,.502,3.6,5.9,.602,2.6,6.3,.408,2.1,2.6,.807,2.2,6.1,1.5,0.1,3.1,1.4,16.9,8.71
0,Kevin Johnson,4,California,Pac-10,34,32.8,6.2,13.2,.471,4.8,9.6,.503,1.4,3.6,.387,3.3,4.1,.819,3.9,5.0,1.5,0.3,2.8,1.9,17.2,5.68
0,Olden Polynice,3,Virginia,ACC,30,35.8,6.1,10.7,.572,,,,,,,3.9,6.1,.637,8.0,0.5,0.3,1.1,2.9,2.9,16.1,9.39
0,Derrick McKey,3,Alabama,SEC,33,36.3,7.5,12.9,.581,6.8,11.4,.603,0.6,1.5,.420,3.0,3.5,.862,7.5,1.8,1.4,2.3,2.5,2.4,18.6,8.99
0,Horace Grant,4,Clemson,ACC,31,32.6,8.3,12.6,.656,8.2,12.5,.657,0.0,0.1,.500,4.5,6.3,.708,9.6,2.0,1.2,0.8,2.2,2.6,21.0,3.56
0,Reggie Miller,4,UCLA,Pac-10,32,36.4,7.7,14.2,.543,5.6,9.3,.597,2.2,4.9,.439,4.7,5.6,.832,5.4,2.2,2.0,0.2,1.9,2.0,22.3,6.89
0,Muggsy Bogues,4,Wake Forest,ACC,29,39.0,5.5,11.0,.500,4.3,8.2,.519,1.2,2.7,.443,2.6,3.2,.806,3.8,9.5,2.4,0.0,3.7,2.1,14.8,5.66
0,Joe Wolf,4,UNC,ACC,34,29.6,6.2,10.9,.571,5.6,9.7,.571,0.7,1.2,.575,2.0,2.6,.793,7.1,2.9,1.3,0.3,1.7,2.5,15.2,8.71
0,Tellis Frank,4,Western Kentucky,Sun Belt,38,32.9,7.4,14.3,.518,7.4,14.3,.518,0.0,0.0,,3.2,4.6,.697,7.4,2.2,1.1,0.6,2.5,3.1,18.0,2.46
